LOCATION_NAME,DESCRIPTION,OPERATION,BLDG_NUM,STREET_DIRECTION,ADDR1,ADDR2,CITY,STATE,POSTAL CD,COUNTRY
NURSE,nurse,A,,,,,,,,
CLINICIAN,clinician,A,,,,,,,,
CLERK,clerk,A,,,,,,,,
RADIOLOGIST,radiology,A,,,,,,,,
TECHNOLOGIST,technologist,A,,,,,,,,
EMERGENCY,emergency,A,,,,,,,,
SECURITY_OFFICE,security office,A,,,,,,,,
PRIVACY_OFFICE,privacy office,A,,,,,,,,
LOCAL_ADMIN,local admin,A,,,,,,,,
PACS_SUPPORT,pacs support,A,,,,,,,,
MEDICAL_RECORDS,medical records,A,,,,,,,,
HELPDESK,help desk,A,,,,,,,,
TIER2_SUPPORT,tier2 support,A,,,,,,,,
security-alert,security alert,A,,,,,,,,
notification-alert,notification alert,A,,,,,,,,
uar-admin,uar admin,A,,,,,,,,
DOCUMENT_MGMT,document management,A,,,,,,,,
